# x y rho ux uy
1 34 1.013359 0.096170 -0.033213
1 35 1.012800 0.096258 -0.032455
1 36 1.012269 0.096343 -0.031654
1 37 1.011765 0.096426 -0.030812
1 38 1.011288 0.096506 -0.029933
1 39 1.010835 0.096584 -0.029018
1 40 1.010406 0.096659 -0.028069
1 41 1.010002 0.096732 -0.027089
1 42 1.009619 0.096802 -0.026078
1 43 1.009259 0.096869 -0.025040
1 44 1.008920 0.096933 -0.023975
1 45 1.008601 0.096994 -0.022885
1 46 1.008303 0.097052 -0.021772
1 47 1.008024 0.097107 -0.020637
1 48 1.007764 0.097159 -0.019483
1 49 1.007523 0.097208 -0.018310
1 50 1.007299 0.097254 -0.017119
1 51 1.007094 0.097297 -0.015913
1 52 1.006905 0.097336 -0.014692
1 53 1.006734 0.097373 -0.013458
1 54 1.006579 0.097406 -0.012211
1 55 1.006440 0.097436 -0.010955
1 56 1.006317 0.097462 -0.009688
1 57 1.006211 0.097485 -0.008413
1 58 1.006119 0.097505 -0.007131
1 59 1.006044 0.097522 -0.005843
1 60 1.005983 0.097536 -0.004549
1 61 1.005938 0.097546 -0.003252
1 62 1.005908 0.097552 -0.001952
1 63 1.005893 0.097556 -0.000651
1 64 1.005893 0.097556 0.000651
1 65 1.005908 0.097552 0.001952
1 66 1.005938 0.097546 0.003252
1 67 1.005983 0.097536 0.004549
1 68 1.006044 0.097522 0.005843
1 69 1.006119 0.097505 0.007131
1 70 1.006211 0.097485 0.008413
1 71 1.006317 0.097462 0.009688
1 72 1.006440 0.097436 0.010955
1 73 1.006579 0.097406 0.012211
1 74 1.006734 0.097373 0.013458
1 75 1.006905 0.097336 0.014692
1 76 1.007094 0.097297 0.015913
1 77 1.007299 0.097254 0.017119
1 78 1.007523 0.097208 0.018310
1 79 1.007764 0.097159 0.019483
1 80 1.008024 0.097107 0.020637
1 81 1.008303 0.097052 0.021772
1 82 1.008601 0.096994 0.022885
1 83 1.008920 0.096933 0.023975
1 84 1.009259 0.096869 0.025040
1 85 1.009619 0.096802 0.026078
1 86 1.010002 0.096732 0.027089
1 87 1.010406 0.096659 0.028069
1 88 1.010835 0.096584 0.029018
1 89 1.011288 0.096506 0.029933
1 90 1.011765 0.096426 0.030812
1 91 1.012269 0.096343 0.031654
1 92 1.012800 0.096258 0.032455
1 93 1.013359 0.096170 0.033213
1 94 1.013947 0.096080 0.033926
1 95 1.014566 0.095988 0.034592
1 96 1.015217 0.095893 0.035207
1 97 1.015901 0.095797 0.035768
1 98 1.016620 0.095699 0.036272
1 99 1.017375 0.095600 0.036716
1 100 1.018169 0.095499 0.037096
1 101 1.019004 0.095397 0.037407
1 102 1.019881 0.095294 0.037646
